T_MFO,B_MFO,G_MFO,C_MFO,O_MFO,T_SCR,B_SCR,G_SCR,C_SCR,O_SCR,T_LNG,B_LNG,G_LNG,C_LNG,O_LNG,T_ELC,B_ELC,G_ELC,C_ELC,O_ELC,T_MET,B_MET,G_MET,C_MET,O_MET,T_LPG,B_LPG,G_LPG,C_LPG,O_LPG,T_HYD,B_HYD,G_HYD,C_HYD,O_HYD
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.885072e13,5.13526e13,2.08368e12,3.581304e13,7.4808e11,1.68504e12,4.537e11,2.574e11,1.67536e12,4.8972e11,1.4616e11,1.872e11,9.504e10,7.104e10,1.20276e12,3.1248e11,0.0,4.32e9,0.0,0.0,4.5696e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.953392e13,5.32129e13,2.1591e12,3.7111e13,7.752e11,1.72424e12,4.641e11,2.6388e11,1.7316e12,4.9788e11,1.5008e11,1.911e11,9.81e10,7.252e10,1.22628e12,3.2368e11,0.0,4.5e9,0.0,0.0,4.76e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.020592e13,5.5042e13,2.23326e12,3.838824e13,8.0184e11,1.7528e12,4.719e11,2.6856e11,1.77304e12,5.0388e11,1.5288e11,1.937e11,9.99e10,7.4e10,1.24008e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.08656e13,5.68373e13,2.30616e12,3.96418e13,8.28e11,1.76848e12,4.758e11,2.7108e11,1.79524e12,5.0712e11,1.54e11,1.95e11,1.0062e11,7.4e10,1.24512e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.14704e13,5.84831e13,2.37294e12,4.079028e13,8.52e11,1.77408e12,4.771e11,2.7198e11,1.80412e12,5.0832e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24608e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.168152e13,5.90577e13,2.39616e12,4.119136e13,8.604e11,1.77576e12,4.771e11,2.7216e11,1.80708e12,5.0868e11,1.54e11,1.95e11,1.008e11,7.4e10,1.2468e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.17084e13,5.91292e13,2.39904e12,4.124316e13,8.6148e11,1.77688e12,4.771e11,2.7234e11,1.80856e12,5.0892e11,1.54e11,1.95e11,1.008e11,7.4e10,1.2474e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171288e13,5.91409e13,2.39958e12,4.125204e13,8.6172e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24776e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171568e13,5.91474e13,2.39976e12,4.125648e13,8.6184e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24812e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171792e13,5.91526e13,2.39994e12,4.126092e13,8.6196e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24836e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171792e13,5.91526e13,2.39994e12,4.126092e13,8.6196e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24836e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171792e13,5.91526e13,2.39994e12,4.126092e13,8.6196e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24836e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171792e13,5.91526e13,2.39994e12,4.126092e13,8.6196e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24836e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171792e13,5.91526e13,2.39994e12,4.126092e13,8.6196e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24836e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171792e13,5.91526e13,2.39994e12,4.126092e13,8.6196e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24836e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171792e13,5.91526e13,2.39994e12,4.126092e13,8.6196e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24836e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171792e13,5.91526e13,2.39994e12,4.126092e13,8.6196e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24836e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,2.171792e13,5.91526e13,2.39994e12,4.126092e13,8.6196e11,1.77744e12,4.771e11,2.7234e11,1.80856e12,5.0904e11,1.54e11,1.95e11,1.008e11,7.4e10,1.24836e12,3.3488e11,0.0,4.68e9,0.0,0.0,4.9504e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e9
