"MEASURE - Number of ships"

,YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"ECONOMY","SHIP TYPE",
"Individual economies","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    Developed economies: Asia","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2023,1951,1980,1949,1934,1907,1901,1947,1770
"    Developed economies: Asia","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9,10,7,18,19,25,31,34,42
"    Developed economies: Asia","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2069,2478,2489,2447,2440,2435,2441,2496,2423
"    Developed economies: Europe","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",15056,15596,15550,15106,15189,15256,15425,15586,15391
"    Developed economies: Europe","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1957,1601,1567,1504,1498,1507,1533,1570,1525
"    Developed economies: Europe","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1337,1500,1534,1585,1613,1635,1612,1622,1593
"    Developed economies: Europe","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2932,2990,2944,2717,2632,2606,2610,2587,2315
"    Developed economies: Europe","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1080,1157,1099,1004,1040,1103,1140,1168,1174
"    Developed economies: Europe","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7750,8348,8406,8296,8406,8405,8530,8639,8784
"    Developed economies: Oceania","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",574,582,602,618,639,649,663,674,692
"    Developed economies: Oceania","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",11,13,15,9,14,14,12,13,11
"    Developed economies: Oceania","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9,8,6,5,5,5,4,4,4
"    Developed economies: Oceania","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",85,88,88,96,93,98,100,99,92
"    Developed economies: Oceania","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2,1,1,2,2,1,"..","..",".."
"    Developed economies: Oceania","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",467,472,492,506,525,531,547,558,585
"Developed economies: Asia and Oceania","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5809,5748,5834,5834,5880,5859,5876,6015,5749
"Developed economies: Asia and Oceania","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1075,668,690,681,720,711,703,719,675
"Developed economies: Asia and Oceania","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",79,80,87,135,147,151,153,162,162
"Developed economies: Asia and Oceania","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2108,2039,2068,2045,2027,2005,2001,2046,1862
"Developed economies: Asia and Oceania","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",11,11,8,20,21,26,31,34,42
"Developed economies: Asia and Oceania","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2536,2950,2981,2953,2965,2966,2988,3054,3008
"Developing economies: Asia and Oceania","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",31037,32087,33393,35263,36895,38392,39510,40009,42293
"Developing economies: Asia and Oceania","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4160,3549,3657,3867,4169,4341,4519,4675,5082
