"MEASURE - Number of ships"

,YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"ECONOMY","SHIP TYPE",
"Individual economies","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OAS (Organization of American States)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4539,4162,4149,3752,3548,3509,3509,3467,3371
"OAS (Organization of American States)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1336,1364,1311,1272,1169,1105,1023,951,928
"OAS (Organization of American States)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9669,10092,10244,10350,10504,10633,10775,10937,11065
"OECD (Organisation for Economic Cooperation and Development)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",25334,25634,25755,25174,25299,25279,25471,25865,25365
"OECD (Organisation for Economic Cooperation and Development)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3088,2298,2317,2188,2218,2194,2215,2242,2130
"OECD (Organisation for Economic Cooperation and Development)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",949,1031,1053,1103,1078,1042,987,990,960
"OECD (Organisation for Economic Cooperation and Development)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5500,5443,5454,5175,5037,5013,5011,5039,4537
"OECD (Organisation for Economic Cooperation and Development)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",934,990,932,818,815,840,869,915,934
"OECD (Organisation for Economic Cooperation and Development)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",14863,15872,15999,15890,16151,16190,16389,16679,16804
"OECS (Organisation of Eastern Caribbean States)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2706,2691,2659,2464,2350,2255,2160,2114,1953
"OECS (Organisation of Eastern Caribbean States)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",93,80,79,86,87,86,93,99,98
"OECS (Organisation of Eastern Caribbean States)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",171,137,120,92,81,66,65,61,54
"OECS (Organisation of Eastern Caribbean States)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1242,1223,1193,1061,994,945,889,823,772
"OECS (Organisation of Eastern Caribbean States)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",422,446,423,392,359,308,253,208,166
"OECS (Organisation of Eastern Caribbean States)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",778,805,844,833,829,850,860,923,863
"OIC (Organisation of Islamic Cooperation)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13938,14310,14988,15920,16919,17465,18188,18268,19496
"OIC (Organisation of Islamic Cooperation)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1324,1152,1180,1243,1375,1405,1462,1504,1597
"OIC (Organisation of Islamic Cooperation)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",300,280,285,307,298,305,308,310,327
"OIC (Organisation of Islamic Cooperation)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4028,3949,4010,3984,4104,4227,4353,4312,4345
"OIC (Organisation of Islamic Cooperation)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",351,299,331,328,326,340,345,354,368
"OIC (Organisation of Islamic Cooperation)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7935,8630,9182,10058,10816,11188,11720,11788,12859
"OPEC (Organization of the Petroleum Exporting Countries)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2554,2581,2699,2956,3191,3244,3324,3278,3466
"OPEC (Organization of the Petroleum Exporting Countries)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",280,257,261,272,309,307,310,329,315
"OPEC (Organization of the Petroleum Exporting Countries)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",26,20,30,48,49,47,44,40,41
"OPEC (Organization of the Petroleum Exporting Countries)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",472,470,495,540,571,589,613,575,603
"OPEC (Organization of the Petroleum Exporting Countries)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36,23,33,43,46,46,33,32,33
"OPEC (Organization of the Petroleum Exporting Countries)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1740,1811,1880,2053,2216,2255,2324,2302,2474
"SAARC (South Asian Association for Regional Cooperation)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1807,1807,1842,2051,2086,2163,2209,2255,2320
"SAARC (South Asian Association for Regional Cooperation)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",211,194,192,208,242,272,279,288,298
"SAARC (South Asian Association for Regional Cooperation)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",114,121,112,122,116,114,118,123,117
"SAARC (South Asian Association for Regional Cooperation)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",534,514,524,681,676,679,685,697,713
"SAARC (South Asian Association for Regional Cooperation)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",26,22,21,19,18,24,27,27,31
"SAARC (South Asian Association for Regional Cooperation)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",922,956,993,1021,1034,1074,1100,1120,1161
"SACU (Southern African Customs Union)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",73,75,78,77,79,85,92,98,115
"SACU (Southern African Customs Union)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5,5,5,5,5,6,6,6,6
"SACU (Southern African Customs Union)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2,2,2,2
"SACU (Southern African Customs Union)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3,3,4,3,2,2,2,2,2
"SACU (Southern African Customs Union)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"SACU (Southern African Customs Union)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",65,67,69,69,72,75,82,88,105
"SADC (Southern African Development Community)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",741,691,734,724,734,773,825,834,868
"SADC (Southern African Development Community)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",65,58,98,118,126,133,93,98,99
"SADC (Southern African Development Community)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",28,17,10,13,9,15,16,15,13
"SADC (Southern African Development Community)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",307,299,294,250,250,280,338,344,331
"SADC (Southern African Development Community)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10,4,8,8,6,5,11,11,13
"SADC (Southern African Development Community)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",331,313,324,335,343,340,367,366,412
"TPP (Trans-Pacific Partnership)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13211,13562,13912,13831,14180,14337,14505,14757,14487
"TPP (Trans-Pacific Partnership)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2081,1593,1650,1633,1698,1713,1734,1781,1731
"TPP (Trans-Pacific Partnership)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",390,467,520,678,789,872,870,895,884
"TPP (Trans-Pacific Partnership)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3927,3865,3899,3801,3764,3745,3751,3801,3525
"TPP (Trans-Pacific Partnership)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",381,428,447,501,542,576,596,587,597
"TPP (Trans-Pacific Partnership)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6432,7209,7396,7218,7387,7431,7554,7693,7750
"UNASUR (Union of South American Nations)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1647,1623,1657,1786,1877,1945,2030,2034,2191
"UNASUR (Union of South American Nations)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",196,183,179,173,180,185,183,182,174
"UNASUR (Union of South American Nations)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36,31,22,32,32,26,27,26,23
"UNASUR (Union of South American Nations)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",325,279,278,265,271,279,271,264,248
"UNASUR (Union of South American Nations)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",20,20,23,28,29,28,30,29,30
"UNASUR (Union of South American Nations)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1070,1110,1155,1288,1365,1427,1519,1533,1716
"WAEMU (West African Economic and Monetary Union)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",158,175,198,252,304,315,393,386,467
"WAEMU (West African Economic and Monetary Union)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13,17,24,37,48,49,52,45,53
"WAEMU (West African Economic and Monetary Union)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10,3,3,4,9,10,11,7,5
"WAEMU (West African Economic and Monetary Union)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",78,96,106,136,163,163,230,224,276
"WAEMU (West African Economic and Monetary Union)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5,4,4,5,5,3,3,4,5
"WAEMU (West African Economic and Monetary Union)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",52,55,61,70,79,90,97,106,128
"Africa","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5487,5632,5869,6036,6216,6321,6563,6633,7093
"Africa","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",983,945,1016,1067,1086,1085,1122,1110,1194
"Africa","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",677,787,866,894,944,999,1055,1144,1223
"Africa","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",928,905,923,923,973,995,1119,1115,1160
"Africa","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",979,1004,1025,989,941,944,902,876,895
"Africa","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1920,1991,2039,2163,2272,2298,2365,2388,2621
"  Northern Africa","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",731,738,747,740,769,761,764,764,771
"  Northern Africa","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",63,61,59,57,63,64,66,66,62
"  Northern Africa","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",20,24,22,18,18,18,17,14,13
"  Northern Africa","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",80,75,76,69,71,69,70,67,54
"  Northern Africa","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9,10,10,12,11,12,14,16,13
"  Northern Africa","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",559,568,580,584,606,598,597,601,629
"  Sub-Saharan Africa","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4756,4894,5122,5296,5447,5560,5799,5869,6322
"  Sub-Saharan Africa","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",920,884,957,1010,1023,1021,1056,1044,1132
"  Sub-Saharan Africa","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",657,763,844,876,926,981,1038,1130,1210
"  Sub-Saharan Africa","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",848,830,847,854,902,926,1049,1048,1106
"  Sub-Saharan Africa","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",970,994,1015,977,930,932,888,860,882
"  Sub-Saharan Africa","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1361,1423,1459,1579,1666,1700,1768,1787,1992
"    Eastern Africa","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",661,627,669,644,647,674,703,716,745
"    Eastern Africa","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",55,49,90,109,117,122,83,88,88
"    Eastern Africa","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",28,17,10,13,10,14,15,13,11
"    Eastern Africa","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",302,296,291,248,243,271,316,331,326
"    Eastern Africa","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10,4,8,8,6,5,11,11,13
"    Eastern Africa","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",266,261,270,266,271,262,278,273,307
"    Middle Africa","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",150,136,138,165,205,203,228,199,197
"    Middle Africa","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13,14,14,18,21,20,20,18,18
"    Middle Africa","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1
"    Middle Africa","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",51,46,45,50,73,66,86,64,55
"    Middle Africa","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1,1,1,1,".."
"    Middle Africa","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",86,76,79,97,110,116,121,116,123
"    Southern Africa","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",73,75,78,77,79,85,92,98,115
"    Southern Africa","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5,5,5,5,5,6,6,6,6
"    Southern Africa","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2,2,2,2
"    Southern Africa","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3,3,4,3,2,2,2,2,2
"    Southern Africa","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"    Southern Africa","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",65,67,69,69,72,75,82,88,105
"    Western Africa","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3872,4056,4237,4410,4516,4598,4776,4856,5265
"    Western Africa","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",847,816,848,878,880,873,947,932,1020
"    Western Africa","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",629,746,834,863,916,965,1021,1115,1196
"    Western Africa","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",492,485,507,553,584,587,645,651,723
"    Western Africa","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",960,990,1007,969,923,926,876,848,869
"    Western Africa","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",944,1019,1041,1147,1213,1247,1287,1310,1457
"America","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",21020,20846,21010,20547,20459,20468,20577,20543,20501
"America","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1864,1531,1538,1502,1562,1613,1677,1675,1652
"America","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3194,3275,3358,3285,3296,3243,3224,3141,3122
"America","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4603,4227,4210,3795,3588,3535,3535,3490,3389
"America","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1353,1379,1324,1284,1184,1110,1031,962,939
"America","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10006,10434,10580,10681,10829,10967,11110,11275,11399
"  Northern America","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4247,4282,4298,4273,4330,4392,4436,4517,4498
"  Northern America","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",129,113,114,93,94,94,98,107,102
"  Northern America","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",51,41,46,40,39,32,30,28,25
"  Northern America","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",267,262,259,225,203,210,209,208,180
"  Northern America","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",83,86,80,84,82,68,70,73,72
"  Northern America","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3717,3780,3799,3831,3912,3988,4029,4101,4119
"  Latin America and the Caribbean","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",16773,16564,16712,16274,16129,16076,16141,16026,16003
"  Latin America and the Caribbean","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1735,1418,1424,1409,1468,1519,1579,1568,1550
"  Latin America and the Caribbean","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3143,3234,3312,3245,3257,3211,3194,3113,3097
"  Latin America and the Caribbean","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4336,3965,3951,3570,3385,3325,3326,3282,3209
"  Latin America and the Caribbean","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1270,1293,1244,1200,1102,1042,961,889,867
"  Latin America and the Caribbean","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6289,6654,6781,6850,6917,6979,7081,7174,7280
"    Caribbean","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4739,4751,4720,4446,4333,4256,4177,4117,3971
"    Caribbean","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",384,353,352,353,367,389,401,395,393
"    Caribbean","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",524,514,487,449,442,443,448,442,445
"    Caribbean","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1547,1511,1486,1319,1233,1172,1108,1044,978
